 name,kana,area,type,business_hours,holiday,budget,phone,address,website,gmap_url,description,opening_hours
CLUB BACHERON,バシュロン,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6278-9661,東京都新宿区歌舞伎町2-9-1  ソフィア3 B1F,https://www.caba2.net/s/11412,https://www.google.com/maps/search/?api=1&query=CLUB+BACHERON+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-9-1,"9月初旬あの人気店がRENEWAL OPEN☆『CLUB BACHERON（バシュロン）』★
ハイレベルなクオリティを据え置きに、歌舞伎町のお店の中でも随一のサービスをお客様にご提供させて頂きます☆高級感あるこだわりの内装と、それに見合うレベルに相応しいキャスト陣と共に至高のお時間をお過ごしください。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
otto,オット,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-3202-8770,東京都新宿区歌舞伎町1-4-12  新宿ミヤタビル 1F,https://www.caba2.net/s/5873,https://www.google.com/maps/search/?api=1&query=otto+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-4-12,"歌舞伎町の人気店【otto（オット）】区役所通りの路面店
大手グループからの待望の新規店舗で内装、キャストなども一切の妥協なくこだわり抜いております。歌舞伎町にお越しの際は是非当店へ足を運んでみてください。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
Club Deesse,ディース,池袋駅（西口）,キャバクラ,20:00～LAST,日曜,"60分 6,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6914-2556,東京都豊島区西池袋1-43-3  日精ビル 3F,https://www.caba2.net/s/10727,https://www.google.com/maps/search/?api=1&query=Club+Deesse+%E6%B1%A0%E8%A2%8B%E9%A7%85%EF%BC%88%E8%A5%BF%E5%8F%A3%EF%BC%89+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E8%A5%BF%E6%B1%A0%E8%A2%8B1-43-3,"池袋最大の大型店『Club Deesse-ディース-』★
広大なフロアとハイクラスなキャスト陣営にてお客様に至高のお時間をご提供させていただきます。高級感溢れる豪華な内装でのひと時をリーズナブルなお値段にてお楽しみ頂けます。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 20時00分～1時00分 時間変更の可能性
月曜日: 定休日 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
MINT,ミント,上野,キャバクラ,19:00～LAST,日曜・祝祭日,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-3834-0525,東京都文京区湯島3-38-12  エスパス上野広小路 8F,https://www.caba2.net/s/211,https://www.google.com/maps/search/?api=1&query=MINT+%E4%B8%8A%E9%87%8E+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%B9%AF%E5%B3%B63-38-12,"上野エリア屈指の大型店舗…MINT(ミント)!!
有名デザイナーが手掛けた最上級のラグジュアリー空間＆極上美女軍団がお客様をおもてなし致します。店内サービスに一切の妥協は無く、お客様に至福のお時間をお約束します。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
Club SAISON,セゾン,六本木,キャバクラ,20:00～1:00,日曜・祝祭日,"60分 12,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6434-0344,東京都港区六本木7-13-2  アーバンビル 4F,https://www.caba2.net/s/6857,https://www.google.com/maps/search/?api=1&query=Club+SAISON+%E5%85%AD%E6%9C%AC%E6%9C%A8+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A87-13-2,"高級感溢れる上質なナイトクラブ『Club SAISON-セゾン-』☆
高級店立ち並ぶ六本木エリアの中でも一際豪華かつ、和洋バリエーションに富んだ内装はまさにこだわりの作品。比較的リーズナブルなお値段にてお楽しみ頂けるのも大手経営ならではの魅力☆お客様のご来店心よりお待ち申し上げております。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
MUSERVA,ミュゼルヴァ,六本木,キャバクラ,20:00～1:00,日曜・祝祭日,"60分 12,100円〜 
                                    
                                                                                    (税込) (税込)",03-5771-0261,東京都港区六本木3-8-18  六本木三経41ビル B2F,https://www.caba2.net/s/1530,https://www.google.com/maps/search/?api=1&query=MUSERVA+%E5%85%AD%E6%9C%AC%E6%9C%A8+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A83-8-18,"煌びやかな六本木の夜を演出する【ミュゼルヴァ 六本木】
洗練され落ち着きのある内装に厳選されたキャスト陣が貴方をお待ちしております。最高を知る、大人だけの空間にて至福のひと時を…","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
SEASIDE SHIBUYA,シーサイドシブヤ,渋谷,キャバクラ,20:00～LAST,日曜,"60分 8,800円〜 
                                    
                                                                                    (税込) (税込)",03-3476-8755,東京都渋谷区宇田川町33-8  塚田ビル 8F/6F,https://www.caba2.net/s/302,https://www.google.com/maps/search/?api=1&query=SEASIDE+SHIBUYA+%E6%B8%8B%E8%B0%B7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%AE%87%E7%94%B0%E5%B7%9D%E7%94%BA33-8,"各地に展開する有名ブラント店『渋谷SEA SIDE(シーサイド)』☆
渋谷最大級の広大な店内、そして渋谷最高のキャストが勢揃い☆『嬢王3』・月9『恋愛できない理由』の舞台にもなった有名店です♪","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
美人茶屋,ビジンチャヤ,歌舞伎町,キャバクラ,19:00～LAST,日曜,"60分 6,600円〜 
                                    
                                                                                    (税込) (税込)",03-5155-3455,東京都新宿区歌舞伎町2-23-1  風林会館 4F,https://www.caba2.net/s/15,https://www.google.com/maps/search/?api=1&query=%E7%BE%8E%E4%BA%BA%E8%8C%B6%E5%B1%8B+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-23-1,"全国で知名度を誇る人気ブランド【美人茶屋】☆六本木・ミナミ・祇園エリアで人気のブランド【美人茶屋】が歌舞伎町の歴史を塗り替える!!
和のテイストをふんだんに盛り込んだ店内にお洒落な個室をご用意しております。在籍数100名を超える美女たちと最高の一時をお約束致しますので、是非一度ご来店下さいませ。","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
VEROUGE,ヴェルージュ,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 12,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6302-1231,東京都新宿区歌舞伎町2-10-8  ゆきざきビル B1F,https://www.caba2.net/s/35,https://www.google.com/maps/search/?api=1&query=VEROUGE+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-10-8,"歌舞伎町で最大級規模の大型店舗…【VEROUGE(ヴェルージュ)】
【VEROUGE(ヴェルージュ)】は総面積120坪を誇る高級感溢れる店内。貴方だけの大切なお時間を今宵VEROUGEにて…。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～0時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
RIO SHIMBASHI,リオ,新橋,キャバクラ,19:00～LAST,日曜,"60分 6,600円〜 
                                    
                                                                                    (税込) (税込)",03-3528-8114,東京都港区新橋2-9-4  乾盃ビル3F,https://www.caba2.net/s/8140,https://www.google.com/maps/search/?api=1&query=RIO+SHIMBASHI+%E6%96%B0%E6%A9%8B+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%96%B0%E6%A9%8B2-9-4,"福岡の博多・中州エリアで絶大な人気を誇るグループ店が新橋に登場【RIO SHIMBASHI-リオ】
福岡の博多・中州エリアで多数店舗を展開するリオグループが新橋に登場。
来店頂く全てのお客様に非日常感を味わって頂くため、内装には徹底的にこだわりぬいた仕上がり。
総工費は３億円以上をかけ、他の追随を許さないクオリティとなっております。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
SEASIDE IKEBUKURO,シーサイドイケブクロ,池袋駅（東口）,キャバクラ,19:00～1:00,年中無休,"60分 5,500円〜 
                                    
                                                                                    (税込) (税込)",03-6915-2286,東京都豊島区東池袋1-4-2  三経33ビル 5F,https://www.caba2.net/s/187,https://www.google.com/maps/search/?api=1&query=SEASIDE+IKEBUKURO+%E6%B1%A0%E8%A2%8B%E9%A7%85%EF%BC%88%E6%9D%B1%E5%8F%A3%EF%BC%89+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E6%9D%B1%E6%B1%A0%E8%A2%8B1-4-2,"大手プリンスグループが誇る高級キャバクラが池袋に進出。
店内はもちろん、女の子のクオリティーにもこだわっており、池袋トップクラスの高級店をお値段リーズナブルにお楽しみ頂けます。
“深海の楽園”をコンセプトにした贅沢な空間SEASIDE。店内の隅々までこだわった、シャンデリアやテーブルや椅子は贅沢すぎる空間を演出しています。
都内最大級の90坪という広さは圧巻です！","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 19時00分～1時00分 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
club bisser,ビゼ,六本木,ニュークラブ,20:00～1:00,日曜・祝祭日,"60分 12,100円〜 
                                    
                                                                                    (税込) (税込)",03-5772-8340,東京都港区六本木3-8-15  瀬里奈ビレッジ B2F,https://www.caba2.net/s/3214,https://maps.app.goo.gl/W7JPAutgMx6bQ3vb9,"六本木の有名ニュークラブ「ビゼ 六本木」
有名デザイナーが手掛けた内装費数億円の最高級の空間に、選び抜かれたハイレベルなキャスト陣がお客様を上質な時間へと誘います。
六本木の上品で洗練されたお客様をも満足させる大理石やバカラ・スワロフスキーがちりばめられたラグジュアリーな空間を是非ともご堪能ください！","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
CLUB LA VOGUE,ラヴォーグ,品川,キャバクラ,19:00～LAST,日曜,"60分 4,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6433-9677,東京都港区港南2-2-9  1F・2F,https://www.caba2.net/s/11404,https://www.google.com/maps/search/?api=1&query=CLUB+LA+VOGUE+%E5%93%81%E5%B7%9D+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B8%AF%E5%8D%972-2-9,"紳士の夜を彩るラグジュアリー空間の【CLUB  LA  VOGUE - ラヴォーグ - 】
港区という立地に相応しい高級感を感じる内装。
隅々まで行き届いたきめ細かなおもてなし。
美女と酒を交わせば夜はあっという間に夜は更けるでしょう。
最高の体験が此処に存在します。","木曜日: 19時00分～0時00分
金曜日: 19時00分～0時00分
土曜日: 19時00分～0時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～0時00分 時間変更の可能性
火曜日: 19時00分～0時00分
水曜日: 19時00分～0時00分"
High School Marya 上野店,ハイスクールマーヤ,上野,キャバクラ,19:00～LAST,年中無休,"40分 5,880円〜 
                                    
                                                                                    (税・サ込) (税・サ込)",03-5812-8060,東京都台東区上野2-12-3  大国屋ビル 3F,https://www.caba2.net/s/1020,https://www.google.com/maps/search/?api=1&query=High+School+Marya+%E4%B8%8A%E9%87%8E%E5%BA%97+%E4%B8%8A%E9%87%8E+%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E2-12-3,"上野キャバクラHigh School Marya・ハイスクールマーヤ上野店 (ハイスクールマーヤ)
3ヶ月で卒業してしまう素人専門の人気店！エレガントな店内にJK制服を着たエリアTOPレベルの女の子が、お客様に忘れられない時間をご提供致します。","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
bisser,ビゼ,池袋駅（東口）,キャバクラ,19:00～LAST,日曜,"60分 6,600円〜 
                                    
                                                                                    (税込) (税込)",03-5956-2557,東京都豊島区東池袋1-4-2  三経33ビル 2F,https://www.caba2.net/s/205,https://www.google.com/maps/search/?api=1&query=bisser+%E6%B1%A0%E8%A2%8B%E9%A7%85%EF%BC%88%E6%9D%B1%E5%8F%A3%EF%BC%89+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E6%9D%B1%E6%B1%A0%E8%A2%8B1-4-2,"池袋東口を代表する有名店☆『club bisser』☆
☆ビゼの名にふさわしい本物が池袋に…☆超大型グループの一角♪白と黒でまとめられた店内に鮮やかなグリーンで彩った落ち着いた雰囲気となっております!!","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
KINGDOM QUEEN,キングダムクイーン,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 6,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-3209-5643,東京都新宿区歌舞伎町2-26-3  互福ビル 2F,https://www.caba2.net/s/38,https://www.google.com/maps/search/?api=1&query=KINGDOM+QUEEN+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-26-3,"歌舞伎町でもそのゴージャスさは他を圧倒するほどの存在感を持つ『KINGDOM QUEEN-キングダムクイーン』
クラシック、ユーロスタイル、ラグジュアリーの３空間で様々な演出が楽しめる空間で華麗なクイーンが貴方をお待ちしています","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
池袋 Red Shoes,レッドシューズ,池袋駅（東口）,キャバクラ,20:00～LAST,日曜,"60分 5,500円〜 
                                    
                                                                                    (税込) (税込)",03-6915-2192,東京都豊島区東池袋1-4-2  三経33ビル 3F,https://www.caba2.net/s/5981,https://www.google.com/maps/search/?api=1&query=%E6%B1%A0%E8%A2%8B+Red+Shoes+%E6%B1%A0%E8%A2%8B%E9%A7%85%EF%BC%88%E6%9D%B1%E5%8F%A3%EF%BC%89+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E6%9D%B1%E6%B1%A0%E8%A2%8B1-4-2,"大手プリンスグループが誇る高級キャバクラ「レッドシューズ」
「レッドシューズ」横浜・新横浜・札幌・沖縄にお店を構える、グループの有名ブランドの一つです。
黒を基調とした豪華な店内と都会の夜を彩る煌びやかなキャスト陣、非日常を味わえる最高級なお店です。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
