name,kana,area,type,business_hours,holiday,budget,phone,address,website,gmap_url,description
～縁～,エン,銀座,パブ・スナック,19:00～LAST,日曜・祝祭日,"90分 10,000円
                                    
                                                                                    (税・サ別) (税・サ別)",070-8471-6552,東京都中央区銀座6-3-5  小池ビル2F A号室,https://www.caba2.net/s/7988,https://www.google.com/maps/search/?api=1&query=%EF%BD%9E%E7%B8%81%EF%BD%9E+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-3-5,"明るくて元気な美人ママが切り盛りする【縁ｰエン】
広いフロアと出勤が多い女の子を生かしてラウンジのような使い方もできるスナックです。"
FiXiE～TOKYO～,フィクシートウキョウ,銀座,ガールズバー,20:00～LAST,年中無休,"40分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6263-9757,東京都中央区銀座7-2-14  第26ポールスタービル2F C室,https://www.caba2.net/s/7989,https://www.google.com/maps/search/?api=1&query=FiXiE%EF%BD%9ETOKYO%EF%BD%9E+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-2-14,"OL風の衣装が魅力の秘書系ガールズバー【FiXiE～TOKYO～-フィクシートウキョウ】
落ち着いたオフィス風のおしゃれなガールズバーです。"
Jan2,ジャンジャン,銀座,パブ・スナック,19:30～1:00,土曜・日曜・祝祭日,"120分 9,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-3573-3237,東京都中央区銀座5-10-10  マルシマビル3F,https://www.caba2.net/s/7990,https://www.google.com/maps/search/?api=1&query=Jan2+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A75-10-10,"関西のノリを体感できるスナック【Jan2-ジャンジャン】
関西出身のママが出勤しているスナックでは盛り上がること間違いなし。
飲み放題もあるのでリーズナブルに楽しむこともできます。"
CLUB RIRIKA,リリカ,銀座,キャバクラ,20:00～LAST,日曜,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-5537-3203,東京都中央区銀座8-7-22  ポールスタービル 2F,https://www.caba2.net/s/8645,https://www.google.com/maps/search/?api=1&query=CLUB+RIRIKA+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-7-22,"確かな実績、銀座の人気老舗クラブ『CLUB RIRIKA-リリカ-』
ナイト業界の高級ブランド銀座において長年営業し続ける揺るぎない実績からなるサービスと、洗練されたハイレベルなキャスト陣にてお客様に至高のお時間をご提供させて頂きます。"
CLUB Feminine White,フェミニンホワイト,銀座,クラブ,20:00～0:00,土曜・日曜・祝祭日,"60分 20,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-3572-9337,東京都中央区銀座8-6-21  Water Tower 3F,https://www.caba2.net/s/10263,https://www.google.com/maps/search/?api=1&query=CLUB+Feminine+White+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-6-21,"銀座高級クラブ〜CLUB Feminine White〜
銀座で長年の実績ある高級クラブ。確かなクオリティとハイレベルなおもてなしをお客様にご提供させて頂きます。最寄りお立ちよりの際には是非一度お越し下さいませ。"
Bar With,ウィズ,銀座,ガールズバー,18:00～5:00,土曜・日曜・祝祭日,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-3571-0083,東京都中央区銀座8-5-26  ラぺ2ビル 5F,https://www.caba2.net/s/11083,https://www.google.com/maps/search/?api=1&query=Bar+With+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-26,"豊富なメニューと大勢のキャストでお迎え☆""Bar With〜ウィズ〜""☆
多彩な品数とハイレベルな女の子たちとのお時間をリーズナブルなお値段にてご提供させて頂きます☆カウンターはもちろん、ゆったりしたソファー席も完備しておりますのでお一人様から二次会、各種宴会まで様々なシチュエーションに最適です♪"
Wine Girl's Bar Ma Cherie,ワインガールズバー マシェリ,銀座,ガールズバー,18:00～5:00,日曜・祝祭日,"60分 3,600円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6264-6473,東京都中央区銀座8-2-11  ニュー銀座ビル11号館 9F,https://www.caba2.net/s/1380,https://www.google.com/maps/search/?api=1&query=Wine+Girl%27s+Bar+Ma+Cherie+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-2-11,"銀座の本格ワインガールズバーといえばWine Girl's Bar Ma Cherie (マシェリ)
常時100本以上の豊富なワインと、20代のハイレベルな美女がいるコリドー街近くの人気ガールバーWine Girl's Bar Ma Cherie (マシェリ)！
バーラウンジのような高級感ある店内なのでお一人でゆっくり飲むのもおすすめです！"
YAH☆TOKYO,ヤートウキョウ,銀座,ガールズバー,20:00～LAST,日曜・祝祭日,"60分 6,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6280-6288,東京都中央区銀座8-5-15  SVAX銀座B1,https://www.caba2.net/s/7868,https://www.google.com/maps/search/?api=1&query=YAH%E2%98%86TOKYO+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-15,"ショータイムがあるガールズバー【YAH☆TOKYO-ヤートウキョウ】
銀座では珍しいショーがあるガールズバーです。"
結,ユイ,銀座,パブ・スナック,21:00～LAST,日曜・祝祭日,"90分 10,000円
                                    
                                                                                    (税・サ別) (税・サ別)",090-2235-2951,東京都中央区銀座8-5-24  ラペ3 B1,https://www.caba2.net/s/7986,https://www.google.com/maps/search/?api=1&query=%E7%B5%90+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-24,"ゆったりとした空間で上質なスナック【結-ユイ】
エレガントな内装で大人の時間を楽しめるスナックです。"
PREMIER,プレミア,銀座,パブ・スナック,19:00～LAST,日曜,"60分 5,000円
                                    
                                                                                    (税・サ別) (税・サ別)",090-2523-1350,東京都中央区銀座6-2-6  銀座ウエストビル3F 3号,https://www.caba2.net/s/7992,https://www.google.com/maps/search/?api=1&query=PREMIER+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-2-6,"ゆっくりくつろげる【PREMIER-プレミア】
行きつけにするのにぴったりな隠れ家的スナックです。"
銀座 五月～さつき～,サツキ,銀座,パブ・スナック,19:30～LAST,日曜・祝祭日,"60分 6,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6263-8133,東京都中央区銀座8-5-24  ラペ3ビル 2F,https://www.caba2.net/s/10569,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7+%E4%BA%94%E6%9C%88%EF%BD%9E%E3%81%95%E3%81%A4%E3%81%8D%EF%BD%9E+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-24,"エレガントな内装が魅力の【銀座 五月～さつき～サツキ】
銀座の隠れ家的スナックの【銀座 五月～さつき～サツキ】
おひとり様でもグループ様でも幅広くご利用いただけます。"
HANABI,ハナビ,銀座,ガールズバー,20:00～LAST,年中無休,"40分 4,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6263-8655,東京都中央区銀座8-2-10  銀座誠和シルバービル4F,https://www.caba2.net/s/7776,https://www.google.com/maps/search/?api=1&query=HANABI+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-2-10,"ラウンジ風ガールズバーの【HANABI-ハナビ】
シックな内装でガールズバーながら落ち着ける大人の空間になっています♪"
ONE,ワン,銀座,パブ・スナック,19:00～LAST,日曜,"120分 10,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-5244-4922,東京都中央区銀座6-2-6  銀座ウエストビル3F 4号,https://www.caba2.net/s/7778,https://www.google.com/maps/search/?api=1&query=ONE+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A76-2-6,"銀座にあるカジュアルな雰囲気で行きやすいスナック【ONE-ワン】
銀座に位置しますが、入りずらいイメージとは無縁の居心地の良さが売りのスナック。
分かりやすいお会計もポイントです♪"
HOLY LUMB,ホーリーラム,銀座,ラウンジ,20:00～LAST,土曜・日曜・祝祭日,"90分 10,000円
                                    
                                                                                    (税・サ別) (税・サ別)",070-4512-5767,東京都中央区銀座7-2-14  第26ポールスタービル2F,https://www.caba2.net/s/7779,https://www.google.com/maps/search/?api=1&query=HOLY+LUMB+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-2-14,"隠れ家的なラウンジ【HOLY LUMB-ホーリーラム】
黒を基調とした落ち着いた店内で女の子と特別な一時を過ごせるラウンジ。
カウンター6席はバーさながらバツグンの雰囲気です。"
RIGEL,リゲル,銀座,ガールズバー,20:00～LAST,日曜,"40分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6228-5178,東京都中央区銀座8-2-10  銀座誠和ビル 7F C,https://www.caba2.net/s/7991,https://www.google.com/maps/search/?api=1&query=RIGEL+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-2-10,"落ち着いた雰囲気の店内でゆっくりと楽しめる【RIGEL-リゲル】
セクシーなニットワンピが制服のお店です♪
ミニクラブのようなシックな造りで、時間を忘れて楽しむ事ができます。"
Rui,ルイ,銀座,パブ・スナック,20:00～LAST,土曜・日曜・祝祭日,"90分 10,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-3572-6299,東京都中央区銀座8-5-26  ラぺ2ビル B2F,https://www.caba2.net/s/10545,https://www.google.com/maps/search/?api=1&query=Rui+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-26,"心のこもったおもてなしが心地よい銀座スナック【Rui-ルイ】★
内装は綺麗なラウンジのような雰囲気に仕上がった銀座高級スナック☆女の子の細やかな心遣いとサービスの行き届いた優良店です♪"
Club Lien,リアン,銀座,キャバクラ,18:00～LAST,日曜・祝祭日,"60分 5,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-5962-8583,東京都中央区銀座7-4-14  光ビルB1,https://www.caba2.net/s/7777,https://www.google.com/maps/search/?api=1&query=Club+Lien+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-4-14,"銀座の古き良きキャバクラを思い出す【Club Lien-リアン】
銀座のキャバレー復活を目指すママが切り盛りする店舗です。
可愛い女の子と最上級のおもてなしを体感してください。"
