name,official_website,gmap_url,website,kana,area,type,business_hours,holiday,budget,phone,description,address
bar emu,https://www.tiktok.com/@girls.bar.emu?_t=8jIkT3N5hwX&_r=1,,https://www.caba2.net/s/6028,エミュー,新宿三丁目,ガールズバー,20:00～LAST,年中無休,"50分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6273-2560,"新宿三丁目で人気のお店「エミュー」
新宿三丁目の「エミュー」白と青を基調としスッキリとスタイリッシュな店内。
こじんまりした大きさが「ゆっくりできる」「アットホームでいい！」とご好評♪
日々の忙しさを忘れて新宿三丁目のオアシス「エミュー」で楽しんでください！",東京都新宿区新宿3-10-1  吉岡ビルB1
55Lounge,https://www.instagram.com/kabukicho55lounge/?hl=ja,,https://www.caba2.net/s/3458,ゴーゴーラウンジ,歌舞伎町,朝昼ガールズバー,6:00～15:00,月曜,"60分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6457-6888,"朝昼営業【55Lounge・ゴーゴーラウンジ】
歌舞伎町【55Lounge・ゴーゴーラウンジ】は】アメリカのオシャレなBAR】をコンセプトにしたガールズバーなんです！
店内に入るとアメリカンな雑貨や壁紙がたくさんあり。
アメリカのオシャレなバーに来た気分で楽しめますよ！",東京都新宿区歌舞伎町1-15-12  ピアットビル B1F
Milk,http://www.host2.jp/shop/milk/index_sp.html,,https://www.caba2.net/s/11264,ミルク,歌舞伎町,ガールズバー,18:00～5:00,月曜,"60分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6457-3527,"歌舞伎町一番街の人気店☆ガールズバーミルク♡
歌舞伎町メイン通りの一番街ビルをワンフロア使用した広大な店舗☆総額四桁OVERを費やした豪華内装と選りすぐりの女の子にてお客様をもてなさせて頂きます♪",東京都新宿区歌舞伎町1-17-7  リカム3ビル 7F
Angel Cafe,https://x.com/angel_cafe3,,https://www.caba2.net/s/6029,エンジェルカフェ,新宿三丁目,コンカフェ＆バー,18:00～5:00,年中無休,"30分 1,600円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",080-8707-6884,"天使がモチーフのゆるふわコンカフェ「エンジェルカフェ」
天使のようなかわいい女の子がお出迎え♡
新宿三丁目で流行りのゆるふわコンカフェの「エンジェルカフェ」です！
素人系の女の子と楽しくおしゃべりできる非日常空間！大注目のお店です！！",東京都新宿区新宿3-12-4  2F
cafe&bar はちみつ,https://sp.pokepara.jp/tokyo/m4/a10000/shop14530/,,https://www.caba2.net/s/11301,ハチミツ,新宿三丁目,ガールズバー,19:00～LAST,年中無休,"40分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6273-1498,"個性際立つキャストが勢揃い♪それが『cafe & bar はちみつ』の甘い罠☆彡
平日でも多数の出勤人数と、1人1人の個性の強さが病みつきになるお客様続出中！
""はちみつの甘い罠”にあなたも虜になってみては!?",東京都新宿区新宿3-31-5  新宿ペガサス館505
みんなの本カノ,https://www.instagram.com/minnano_honkano/,,https://www.caba2.net/s/11248,ミンナノホンカノ,歌舞伎町,コンカフェ＆バー,17:00～0:00,月曜,"60分 1,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6265-9676,"歌舞伎町1☆最強顔ランコンカフェ""みんなの本カノ♡""
コンセプトは「究極の会いに行けるアイドル」★顔ランピカイチの推しが見つかる!?有名オーナーが手掛ける衣装が可愛いコンカフェ屋さん♡皆様のご来店ぜひお待ちしております♪♪♪",東京都新宿区歌舞伎町1-3-15  ザ・カテリーナビル 7F
Girl's Bar Blue,http://shinjuku.blue/,,https://www.caba2.net/s/6646,ブルー,歌舞伎町,ガールズバー,20:00～LAST,年中無休,"60分 3,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6205-5508,"海をイメージした落ち着いた店内【Girl's Bar Blue (ブルー)】で人魚のようなカワイイ女の子が皆様のお越しをお待ちしております。
日本屈指の歌舞伎町のど真ん中にありながら、時間を忘れて楽しめる空間がここにはある・・・  疲れた貴方のお酒のお供に・・・  癒しの空間で楽しいひと時を・・・",東京都新宿区歌舞伎町1-12-1  KTビル3F
AQUA,https://nightstyle.jp/shop/takadanobaba-aqua/,,https://www.caba2.net/s/6858,アクア,歌舞伎町,ガールズバー,20:00～LAST,不定休,,03-6265-9373,"歌舞伎町の一等地に構えるガールズバー【AQUA BAR-アクア バー-】海をイメージした爽やかな内装でおしゃれな一時を楽しみましょう♪
歌舞伎町一番街、入ってすぐの場所で【AQUA BAR-アクア バー-】が貴方を待っています。
店内は青を基調とし、ネオンとイルミネーションで海をイメージ。
水槽には熱帯魚が泳いでおり、ゆっくりと鑑賞することも。。。♪
開放的な内装はお客様1人でも、団体さまでもご利用が可能です！
当店自慢の可愛い女の子たちが私服で皆様をお待ちしております。
癒しを求めている方は是非【AQUA BAR-アクア バー-】まで！",新宿区歌舞伎町1-17-6  第3NKビル7F
SNACK 月光,https://snacknavi.com/area/yamanote/shinjuku/10062/,,https://www.caba2.net/s/6714,ゲッコウ,歌舞伎町,スナック,20:00～1:00,日曜・祝祭日,"60分 2,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",050-3550-4798,"長年経営を続ける歌舞伎町の老舗スナック☆ Gekkou〜月光〜 ★
実績確かな人気店☆新たな初々しい女性店長を迎えこれまで以上のサービスを、これまで通りのリーズナブルなお値段にてお客様をもてなさせて頂きます！ぜひご利用くださいませ♪",東京都新宿区歌舞伎町2-9-18  ライオンズプラザ 1F
Glitter,https://www.host2.jp/shop/glitter/index_sp.html,,https://www.caba2.net/s/239,グリッター,歌舞伎町,ガールズバー,19:30～LAST,日曜・祝祭日,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-3232-7030,"有名デザイナーが設計したオシャレで雰囲気のあるガールズバー（Glitter-グリッター）
お一人でも団体のお客様にも、気軽に楽しめるガールズバーとして歌舞伎町でも人気のお店なので楽しい夜を過ごしたい方集まれー！",東京都新宿区歌舞伎町1-3-15  谷合ビル 4F
Diner×nya,https://www.instagram.com/diner_nya/?hl=en,,https://www.caba2.net/s/11324,ダイニャー,歌舞伎町,コンカフェ＆バー,18:00～23:00,日曜,"60分 1,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",080-7974-1700,"白田まいプロデュースのコンカフェ【Diner×nya - ダイニャー - 】
白田まいプロデュースのコンカフェが歌舞伎町に誕生！
コスプレイヤーや、インフルエンサーも多数在籍！
目が離せない、とどまる事の知らない推し活の世界へ没頭できます♪",東京都新宿区歌舞伎町2-21-5  第二平沢ビル2F
六花,https://snacknavi.com/area/yamanote/shinjuku/9975/Licca/,,https://www.caba2.net/s/8238,リッカ,歌舞伎町,パブ・スナック,19:00～5:00,月曜,"60分 1,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6302-1679,"落ち着いた余裕ある大人の時間を楽しめるスナック【六花-リッカ】
日々忙しく生きる歌舞伎町の喧噪から逃れたい日もあるもの。
そんな時に落ち着ける場所があるというのは安心できますよね。
自分だけの隠れ家として使うもよし、友人や同僚との飲みに使うもよし。
ゆったりと流れる時間を過ごせる空間があなたの心をつかみます。",東京都新宿区歌舞伎町2-28-15  Sachiビル 5F
my Purple,https://mypurple.tokyo/,,https://www.caba2.net/s/10810,マイパープル,新宿御苑前,ガールズバー,20:00～LAST,不定休,"50分 2,500円
                                    
                                                                                    (税・サ別) (税・サ別)",080-4375-7127,"妖しく紫に彩られた店内がお洒落な【my Purple-マイパープル】
エモい映えの店内で可愛い子がおもてなし！
お酒と女の子で日々の疲れを癒しましょう♪",東京都新宿区新宿4-2-20  MKビル6F
HARU,https://www.instagram.com/girlsbar_haru/,,https://www.caba2.net/s/6379,ハル,歌舞伎町,ガールズバー,21:00～LAST,月曜,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",070-8579-3251,"今歌舞伎町で話題のガールズバー【HARU－ハル】居心地が良い店内なんです。
拘りの和内装、アートギャラリーの様な空間で居心地の良さと楽しめる環境との両立を目指しました。
歌舞伎町で最高のお店をお探しの方は【HARU－ハル】にお越しください
お店の質に徹底的にこだわっています。",東京都新宿区歌舞伎町1-7-1  J2ビル4F
Parfait＆BarLalice,https://www.instagram.com/laliceparfait/,,https://www.caba2.net/s/10454,ラリス,歌舞伎町,コンカフェ＆バー,18:00～23:00,年中無休,"50分 800円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",050-3690-6860,"不思議の国のアリスがコンセプトの【Parfait＆BarLalice-ラリス】
ブルーとホワイトの清涼感溢れる内装。
お客様をオリジナル制服の女の子がお出迎え致します。",東京都新宿区大久保1-1-9  フラワーハイホーム B101
龍幻酒家,https://yuhgen.com/shop/ryugenshuka/,,https://www.caba2.net/s/10610,リュウゲンシュカ,歌舞伎町,龍姫シーシャBar,17:00～23:00,年中無休,"60分 4,000円
                                    
                                                                                    (税・サ込) (税・サ込)",090-6616-1739,"セクシーチャイナの龍姫とお酒が楽しめる【龍幻酒家-リュウゲンシュカ】
歌舞伎町で龍姫とお酒が楽しめる！？
幸せを運ぶ龍姫が人間界にやってきた！
中華風の店内にセクシーチャイナが映えます♪",東京都新宿区歌舞伎町1-17  第二安田ビル 3F
倫乃風,https://www.toyo-planning.co.jp/store/rinnokaze/,,https://www.caba2.net/s/66,リンノカゼ,歌舞伎町,キャバクラ,20:00～LAST,日曜・祝祭日,"60分 8,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-5155-1235,"歌舞伎町ラウンジ 倫乃風-リンノカゼ-
歌舞伎町で長年経営し続ける有名老舗店。",東京都新宿区歌舞伎町2-35-5  LizonBld 1F
Girl's Bar DAVINCI（昼）,https://www.pokepara.jp/tokyo/m4/a10000/shop18929/,,https://www.caba2.net/s/6533,ダヴィンチ,歌舞伎町,コンカフェ＆バー,12:00～20:00,年中無休,"60分 3,500円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6302-1669,"学生気分に戻れるをコンセプトに★昼コンセプトカフェ【ダヴィンチ】★
お昼のダヴィンチはコンカフェとなりまして、かわいい制服女子と昼から夜までまでお酒を楽しめます☆歌舞伎町で話題の人気コンセプトカフェです♪",東京都新宿区歌舞伎町1-2-7  ダイカンプラザ星座館 7F
深海浪漫,https://x.com/shinkairoman,,https://www.caba2.net/s/10452,シンカイロマン,歌舞伎町,コンカフェ＆バー,18:00～11:00,年中無休,"60分 3,600円〜 
                                    
                                                                                    (税・サ込) (税・サ込)",03-6709-6580,"コンセプトは竜宮城のコンカフェ【深海浪漫-シンカイロマン】
和風メイド服で女の子たちがお出迎え。
青を基調とした店内は幻想的な雰囲気に包まれています。",東京都新宿区歌舞伎町2-22-5  叙々苑第2ビル 8階C号室
Girl's Bar DAVINCI,https://www.pokepara.jp/tokyo/m4/a10000/shop18929/,,https://www.caba2.net/s/3456,ダヴィンチ,歌舞伎町,ガールズバー,12:00～5:00,年中無休,"60分 3,500円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6302-1669,"美術館のギャラリーのごとくハイレベルな女の子がおもてなし♡【Girl's Bar DAVINCI】
容姿、接客共にトップレベル☆多くの在籍数を誇る歌舞伎町でも有数のガールズバーです♪お客様それぞれのニーズに合ったおもてなしをリーズナブルなお値段にてご提供させて頂きます★",東京都新宿区歌舞伎町1-2-7  ダイカンプラザ星座館 7F
Girls BAR LOUNGE Lupinus,https://www.instagram.com/lupinus202306/,,https://www.caba2.net/s/10437,ルピナス,西新宿,ガールズバー,19:00～4:00,月曜,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",080-7480-0923,"デザイナー監修のオリジナル衣装がかわいい【Girls BAR LOUNGE Lupinus-ルピナス】
インフルエンサーやアイドルの卵が多数在籍！
かわいい女の子たちと飲めるお店です♪",東京都新宿区西新宿7-11-2  ASP西新宿ビル8F
selene,https://www.toyo-planning.co.jp/club-selene/,,https://www.caba2.net/s/94,セレネ,歌舞伎町,キャバクラ,20:00～LAST,日曜・祝祭日,"60分 11,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-5292-1931,"歌舞伎町クラブセレネ
歌舞伎町で長年経営を続ける有名老舗グループ店。",東京都新宿区歌舞伎町1-2-8  第2ウィザードセブンビル 2F
Girl's Bar Arayz,https://twitter.com/GirlsbarArayz?s=09,,https://www.caba2.net/s/8520,アレイズ,湯島,ガールズバー,20:00～LAST,日曜,"60分 3,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6806-0108,"上野/御徒町/湯島 ガールズバーGirl's Bar Arayz (アレイズ)
20代前半の可愛い女の子と落ち着いて楽しく飲めるお店と言えばGirl's Bar Arayz(アレイズ)！
大型店ではないからこそ、女の子との距離が近くアットホームな雰囲気なのでお一人でも来店しやすいお店です。
是非一度ご来店下さい。",東京都文京区湯島3-35-11  SN湯島ビル5F C号
ハワイ,https://www.pokepara.jp/tokyo/m7/a10038/shop20302/,,https://www.caba2.net/s/11475,,上野,ガールズバー,18:00～LAST,日曜,"40分 2,000円
                                    
                                                                                    (税・サ込) (税・サ込)",090-9754-2842,"Tシャツ＆ショーパンで若さが眩しいガールズバー【ハワイ】
上野御徒町駅から徒歩１分！
若さが輝くTシャツショーパンスタイルのお店です♪",東京都台東区上野2-12-10  京屋ビル6F
Aster&Co.,https://maps.app.goo.gl/Zf7zf1oUtxjx7DzF6,,https://www.caba2.net/s/10579,アスターアンドコー,湯島,パブ・スナック,19:00～LAST,日曜・祝祭日,"60分 4,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6284-4555,"上野・湯島 パブ/スナックAster&Co. (アスターアンドコー)
アクセス抜群の好立地にあるラウンジ風のスナックです、是非お近くにお越しの際はご来店ください。",東京都台東区上野2-5-4  サンシャインビルB1F G号
湯島熟,http://yushimajyuku.tokyo/,,https://www.caba2.net/s/9026,ユシマジュク,湯島,パブ・スナック,20:00～LAST,日曜・祝祭日,"60分 5,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-5817-8466,"高級感たっぷりで特別な夜を彩る【湯島熟-ユシマジュク】
湯島トップクラスの美女をそろえる当店。
落ち着いた雰囲気で高級感に溢れます。",東京都文京区湯島3-45-10  湯島ジェストビル3F
Girl's Bar SWALLOW,https://lit.link/UENOSWALLOW,,https://www.caba2.net/s/8067,スワロー,上野,ガールズバー,19:00～LAST,日曜,"50分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",090-2777-0009,"上野ガールズバーGirl's Bar SWALLOW (スワロー)
可愛い女の子達とリーズナブルに飲めるお店と言えばGirl's Bar SWALLOW(スワロー)です。
是非ご来店下さい。",東京都文京区湯島3-41-1  ル・ドーム5F
Girls Bar Mare,https://www.instagram.com/mare_1226/?hl=en,,https://www.caba2.net/s/10554,マーレ,湯島,ガールズバー,21:00～LAST,水曜,"50分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",080-2129-7418,"上野・御徒町・湯島 ガールズバーGirls Bar Mare (マーレ)
湯島の隠れ家的ガールズバー、白を基調とした清潔感ある店内に可愛い女の子が在籍しております。
是非ご来店ください。",東京都文京区湯島3-42-12  こけしビル5F A号室
Cafe&Bar 純愛牢獄,https://www.pokepara.jp/tokyo/m7/a10038/shop16534/,,https://www.caba2.net/s/8695,ピュアプリズン,上野,コンカフェ＆バー,19:00～LAST,年中無休,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-3834-3755,"上野 ポリスコンカフェCafe&Bar 純愛牢獄 (ピュアプリズン)
上野にある新感覚コンカフェCafe&Bar 純愛牢獄 (ピュアプリズン)、カワイイ女の子がポリスの衣装で検問しているので、思わず逮捕されたくなる事間違いなし！
是非一度ご来店下さい。",東京都台東区上野2-12-9  サンプラザ上野ビル4F
Club Lei,https://chocolat.work/tokyo/a_142/shop/102823/,,https://www.caba2.net/s/7987,レイ,上野,キャバクラ,19:00～LAST,日曜・祝祭日,"60分 7,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-5817-8838,"上野キャバクラClub Lei (レイ)
幅広い年齢層の美しいキャストが揃う、隠れ家的人気店！
カラオケが無料で歌い放題なので大人数でワイワイ楽しんだり、お一人でゆっくり飲みたい方も是非一度ご来店下さい。",東京都台東区上野2-10-7  京邦ビル2F
MOANA,https://www.instagram.com/moana.ueno/,,https://www.caba2.net/s/11465,モアナ,上野,ガールズバー,20:00～5:00,日曜・祝祭日,"50分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",090-7865-5463,"いつでもリゾート気分になれるガールズバー【MOANA - モアナ - 】
南国テイストの店内は南国の雰囲気たっぷり！
仕事終わりの疲れは可愛い女の子とリゾート気分で吹っ飛ばしましょう♪",東京都台東区上野2-4-4  信水ビル2F
Jammy,https://instagram.com/jammy_yushima?igshid=ZDdkNTZiNTM=,,https://www.caba2.net/s/8614,ジャミー,湯島,ガールズバー,18:00～LAST,不定休,"40分 2,500円
                                    
                                                                                    (税・サ別) (税・サ別)",03-5877-8495,"湯島 ガールズバーJammy (ジャミー)
街中にいる可愛い子とバーにデートに来た感覚になってしまう、そんなアットホームで居心地のいいお店です！
女の子は20代の私服姿の可愛い子ばかりなので、ダーツやカラオケを一緒に楽しんで下さい。
ご来店お待ちしてます。",東京都文京区湯島3-36-5  Mビル1F
BUNNY FLIX 上野店,https://www.pokepara.jp/tokyo/m7/a10038/shop20259/,,https://www.caba2.net/s/11474,バニーフリックス,上野,コンカフェ＆バー,19:00～LAST,月曜,"40分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",070-4346-3554,"上野エリアでバニーちゃんたちと遊べる【BUNNY FLIX 上野店 - バニーフリックス - 】
いつでも大盛況のバニーフリックスは可愛い女の子が多数出勤中！
堅苦しくなく、だれでもリラックスして楽しめる空間となっています♪",東京都台東区上野2-11-9  桂昇上野ビル5F
Ladies bar Fabbian,https://snacknavi.com/area/yamanote/okachimachi/9993/fabbian/,,https://www.caba2.net/s/10601,レディースバーファビアン,湯島,パブ・スナック,19:00～LAST,月曜・日曜,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-5812-4428,"御徒町 湯島 スナックLadies bar Fabbian (レディースバーファビアン)
御徒町徒歩4分の好立地にある高級感漂うスナック、美人ママが得意の料理でおもてなししてくれます！
是非ご来店ください。",東京都文京区湯島3-35-11  SN湯島ビル4F-D
